Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
07/2023,"Sbux sama fore itu menurutku baiiiiik dan helpful bgt. Aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun, tp baristanya tetep ngejelasin dgn sabar dan detil gitu. Mana ga judes samsek, malah ramah",sbux sama fore itu menurutku baiiiiik dan helpful bgt aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun tp baristanya tetep ngejelasin dgn sabar dan detil gitu mana ga judes samsek malah ramah,starbucks sama fore itu menurutku baiiiiik dan helpful banget aku pertama kali ke fore dengan baju lusuh bawa barang banyak karena mau ke stasiun tapi baristanya tetep ngejelasin dengan sabar dan detil gitu mana tidak judes sama sekali bahkan ramah
07/2023,Pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,tolonglah daripada starbucks saya lebih suka fore coffe apalagi yang hazelnut
07/2023,"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.",aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi di hotel yg lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu,aku kalau lagi punya uang beli starbucks kalau gak punya budget iya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi di hotel yang lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu
07/2023,"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.",aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi di hotel yg lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu,aku kalau lagi punya uang beli starbucks kalau gak punya budget iya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi di hotel yang lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu
07/2023,Semenjak ada Point coffee jadi udh lama banget ga beli chatime udah lupa rasa,semenjak ada point coffee jadi udh lama banget ga beli chatime udah lupa rasa,semenjak ada point coffee jadi sudah lama banget tidak beli chatime sudah lupa rasa
08/2023,"Nyoba fore, tp tetep suka kopi kenangan",nyoba fore tp tetep suka kopi kenangan,nyoba fore tapi tetep suka kopi kenangan
08/2023,"Juaranya kopi ya cuma FORE, no debat no kecot",juaranya kopi ya cuma fore no debat no kecot,juaranya kopi iya cuma fore no debat no kecot
08/2023,"Padahal ada point coffee bisa minta americano on the rock apa doppio on the rock, add on susu pisang masih masuk lah. Kalau nescafe item yg kalengan ini dah manis soalnya",padahal ada point coffee bisa minta americano on the rock apa doppio on the rock add on susu pisang masih masuk lah kalau nescafe item yg kalengan ini dah manis soalnya,padahal ada point coffee bisa minta americano on the rock apa doppio on the rock add on susu pisang masih masuk lah kalau nescafe hitam yang kalengan ini deh manis soalnya
08/2023,"Ini tolong bgt ya udh gak bisa beli es batu nya di point coffee, jgn diikutin plis.",ini tolong bgt ya udh gak bisa beli es batu nya di point coffee jgn diikutin plis,ini tolong banget iya sudah gak bisa beli es batu nya di point coffee jangan diikutin plis
08/2023,"engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini. kalau aku mungkin bakal beli point coffee aja udah. caffe latte no sugar, gak ribet. harganya juga kayaknya sama aja karna setauku nescafe kaleng 10 an, es batu 3k, susu pisang mujigae 10 an",engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini kalau aku mungkin bakal beli point coffee aja udah caffe latte no sugar gak ribet harganya juga kayaknya sama aja karna setauku nescafe kaleng  an es batu k susu pisang mujigae  an,engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini kalau aku mungkin bakal beli point coffee saja sudah caffe latte no gula gak ribet harganya juga kayaknya sama saja karena setauku nescafe kaleng an es batu ke susu pisang mujigae an
08/2023,Ada point coffee malah beli kopi kaleng?,ada point coffee malah beli kopi kaleng,ada point coffee bahkan beli kopi kaleng
08/2023,"Semua akan kopi pada waktunya wkwk. Aku juga kalo gak batesin, bisa sehari 2x ngopi. Sekarang seminggu 2-3x aja. Btw, selain fore, kopken emang enak sih menurutku.",semua akan kopi pada waktunya wkwk aku juga kalo gak batesin bisa sehari x ngopi sekarang seminggu x aja btw selain fore kopken emang enak sih menurutku,semua akan kopi pada waktunya wkwk aku juga kalau gak batesin bisa sehari x ngopi sekarang seminggu x saja ngomong-ngomong selain fore kopi kenangan emang enak sih menurutku
08/2023,"MENCHI KATSU SM POINT COFFEE YANG MYSTERIOUS GREEN. Trus sosis keju, dimsum ayam jamur atau bayem (?), Chicken nanban sandwich, boneless chicken, roti yg cheese boat (?), Apple pie, onigiri tuna mayo, pizza yg pepperoni",menchi katsu sm point coffee yang mysterious green trus sosis keju dimsum ayam jamur atau bayem  chicken nanban sandwich boneless chicken roti yg cheese boat  apple pie onigiri tuna mayo pizza yg pepperoni,menchi katsu sama point coffee yang mysterious green terus sosis keju dimsum ayam jamur atau bayem chicken nanban sandwich boneless chicken roti yang cheese boat apple pie onigiri tuna mayo pizza yang pepperoni
08/2023,"aku suka dimsumnya, point coffee",aku suka dimsumnya point coffee,aku suka dimsumnya point coffee
08/2023,"Pngen bgt fore, di Cikarang blm ada keknya",pngen bgt fore di cikarang blm ada keknya,pngen banget fore di cikarang belum ada kayaknya
08/2023,Di tempatku gada fore,di tempatku gada fore,di tempatku gada fore
08/2023,"msh blm nemu, perkopiannya fore tuh rasa kopinya kencengg bgt dah susah diterima utk aku yg gasuka sm kopi yg strong gt huh",msh blm nemu perkopiannya fore tuh rasa kopinya kencengg bgt dah susah diterima utk aku yg gasuka sm kopi yg strong gt huh,masih belum nemu perkopiannya fore tuh rasa kopinya kencengg banget deh susah diterima untuk aku yang gasuka sama kopi yang strong begitu huh
08/2023,"Banana butterscotch latte dulu paling fav, pandan latte ekstra creamcheese juga enak, gue dlu mantan barista fore jd smp skrg masi bisa tu bikin aren latte, praline macchiato dl",banana butterscotch latte dulu paling fav pandan latte ekstra creamcheese juga enak gue dlu mantan barista fore jd smp skrg masi bisa tu bikin aren latte praline macchiato dl,banana butterscotch latte dulu paling favorit pandan latte ekstra creamcheese juga enak aku dulu mantan barista fore jadi smp sekarang masi bisa tu bikin aren latte praline macchiato dl
08/2023,"Aku pernah jam 9 malem masih nangkring di indomaret sambil nyruput point coffee. Trs ada roti fresh from oven mereka tawarin ke semua yg masih ada di indomaret pas itu, aku beli yg double cheese tuh 9k, aslinya 10k. Selain itu kurang tau sih promonya pas kapan aja",aku pernah jam  malem masih nangkring di indomaret sambil nyruput point coffee trs ada roti fresh from oven mereka tawarin ke semua yg masih ada di indomaret pas itu aku beli yg double cheese tuh k aslinya k selain itu kurang tau sih promonya pas kapan aja,aku pernah jam malam masih nangkring di indomaret sambil nyruput point coffee terus ada roti fresh from oven mereka tawarin ke semua yang masih ada di indomaret pas itu aku beli yang double cheese tuh ke aslinya ke selain itu kurang tahu sih promonya pas kapan saja
08/2023,Promo an point coffee senin kmrn,promo an point coffee senin kmrn,promo an point coffee senin kemarin
08/2023,"point coffee, coklat thunder, campina krezz, chitato sapi panggang, wallens coklat, garuda ocorn, ghost paper, kanzler, chiki ball ayam",point coffee coklat thunder campina krezz chitato sapi panggang wallens coklat garuda ocorn ghost paper kanzler chiki ball ayam,point coffee coklat thunder campina krezz chitato sapi panggang wallens coklat garuda ocorn ghost paper kanzler chiki ball ayam
08/2023,kalo diliat dari gelas minumannya mirip point coffee TP GATAU SPILL LAH MAU JG,kalo diliat dari gelas minumannya mirip point coffee tp gatau spill lah mau jg,kalau diliat dari gelas minumannya mirip point coffee tapi gatau spill lah mau juga
08/2023,kamu beli di mana ? itu gelas point coffee bukan ?,kamu beli di mana  itu gelas point coffee bukan ,kamu beli di mana itu gelas point coffee bukan
08/2023,gelasnya point coffee tapi lo beli croissant nya dmn anjir???? spill,gelasnya point coffee tapi lo beli croissant nya dmn anjir spill,gelasnya point coffee tapi kamu beli croissant nya dimana anjing spill
08/2023,"Kmrn takeaway point coffee di domar. Udh bayar dan disuruh tunggu dulu sm baristanya tp ga fokus malah jalan keluar, dikejar sm mba staf lain karna pesenannya beloman",kmrn takeaway point coffee di domar udh bayar dan disuruh tunggu dulu sm baristanya tp ga fokus malah jalan keluar dikejar sm mba staf lain karna pesenannya beloman,kemarin takeaway point coffee di domar sudah bayar dan disuruh tunggu dulu sama baristanya tapi tidak fokus bahkan jalan keluar dikejar sama mbak staf lain karena pesenannya beloman
08/2023,Gue suka tomoro aaaakh kangen tomoro ada di sebelah kampus alias KANGEN KE KAMPUS,gue suka tomoro aaaakh kangen tomoro ada di sebelah kampus alias kangen ke kampus,aku suka tomoro aaaakh kangen tomoro ada di sebelah kampus alias kangen ke kampus
