Text,Normalized_Text_NLTK,Normalized_Text_Sastrawi,Normalized_Text_Spacy,Normalized_Text_TextBlob
"Sbux sama fore itu menurutku baiiiiik dan helpful bgt. Aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun, tp baristanya tetep ngejelasin dgn sabar dan detil gitu. Mana ga judes samsek, malah ramah",sbux fore menurutku baiiiiik helpful bgt kali fore dgn baju lusuh bawa barang krn stasiun tp baristanya tetep ngejelasin dgn sabar detil gitu ga jude samsek ramah,sbux sama fore itu turut baiiiiik dan helpful bgt aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun tp baristanya tetep ngejelasin dgn sabar dan detil gitu mana ga judes samsek malah ramah,sbux sama fore itu menurutku baiiiiik dan helpful bgt aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun tp baristanya tetep ngejelasin dgn sabar dan detil gitu mana ga judes samsek malah ramah,sbux sama fore itu menurutku baiiiiik dan helpful bgt aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun tp baristanya tetep ngejelasin dgn sabar dan detil gitu mana ga jude samsek malah ramah
Pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,pliss drpd sbux gua suka fore coffe yg hazelnut,pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,plis drpd sbux gua lebih suka fore coffe apalagi yg hazelnut
"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.",kalo uang beli starbucks klo gak budget ya kopi kenangan fore flash gak bilang starbuck mahal worthed ngopi hotel yg mahal starbucks gak sesimple,aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenang fore atau flash tapi gak bilang starbuck mahal karena semua rasa memang worthed sudah pernah juga ngopi2 di hotel yg lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu,aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthe sudah pernah juga di hotel yg lebih mahal dari starbuck tapi gak tiap hari juga sesimple itu,aku kalo lagi punya uang beli starbuck klo gak punya budget ya kopus kenangan fore atau flash tapus gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi2 di hotel yg lebih mahal darus starbuck tapus gak tiap harus juga sesimple itu
"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.",kalo uang beli starbucks klo gak budget ya kopi kenangan fore flash gak bilang starbuck mahal worthed ngopi hotel yg mahal starbucks gak sesimple,aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenang fore atau flash tapi gak bilang starbuck mahal karena semua rasa memang worthed sudah pernah juga ngopi2 di hotel yg lebih mahal dari starbucks tapi gak tiap hari juga sesimple itu,aku kalo lagi punya uang beli starbucks klo gak punya budget ya kopi kenangan fore atau flash tapi gak bilang starbuck mahal karena semua rasanya memang worthe sudah pernah juga di hotel yg lebih mahal dari starbuck tapi gak tiap hari juga sesimple itu,aku kalo lagi punya uang beli starbuck klo gak punya budget ya kopus kenangan fore atau flash tapus gak bilang starbuck mahal karena semua rasanya memang worthed sudah pernah juga ngopi2 di hotel yg lebih mahal darus starbuck tapus gak tiap harus juga sesimple itu
Semenjak ada Point coffee jadi udh lama banget ga beli chatime udah lupa rasa,semenjak point coffee udh banget ga beli chatime udah lupa,semenjak ada point coffee jadi udh lama banget ga beli chatime udah lupa rasa,semenjak ada point coffee jadi udh lama banget ga beli chatime udah lupa rasa,semenjak ada point coffee jadi udh lama banget ga beli chatime udah lupa rasa
"Nyoba fore, tp tetep suka kopi kenangan",nyoba fore tp tetep suka kopi kenangan,nyoba fore tp tetep suka kopi kenang,nyoba fore tp tetep suka kopi kenangan,nyoba fore tp tetep suka kopus kenangan
"Juaranya kopi ya cuma FORE, no debat no kecot",juaranya kopi ya fore no debat no kecot,juara kopi ya cuma fore no debat no kecot,juaranya kopi ya cuma fore debat kecot,juaranya kopus ya cuma fore no debat no kecot
"Padahal ada point coffee bisa minta americano on the rock apa doppio on the rock, add on susu pisang masih masuk lah. Kalau nescafe item yg kalengan ini dah manis soalnya",point coffee americano on the rock doppio on the rock add on susu pisang masuk nescafe item yg kalengan dah manis,padahal ada point coffee bisa minta americano on the rock apa doppio on the rock add on susu pisang masih masuk lah kalau nescafe item yg kaleng ini dah manis soal,padahal ada point coffee bisa minta americano rock apa doppio rock add susu pisang masih masuk lah kalau nescafe item yg kalengan ini dah manis soalnya,padahal ada point coffee bisa mintum americano on the rock apa doppio on the rock add on susu pisang masih masuk lah kalau nescafe item yg kalengan ini dah mani soalnya
"Ini tolong bgt ya udh gak bisa beli es batu nya di point coffee, jgn diikutin plis.",tolong bgt ya udh gak beli e batu nya point coffee jgn diikutin plis,ini tolong bgt ya udh gak bisa beli es batu nya di point coffee jgn diikutin plis,ini tolong bgt ya udh gak bisa beli es batu nya di point coffee jgn diikutin plis,ini tolong bgt ya udh gak bisa beli es batu nya di point coffee jgn diikutin pli
"engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini. kalau aku mungkin bakal beli point coffee aja udah. caffe latte no sugar, gak ribet. harganya juga kayaknya sama aja karna setauku nescafe kaleng 10 an, es batu 3k, susu pisang mujigae 10 an",engga minuman kemasan gulanya gabungin minuman gini beli point coffee aja udah caffe latte no sugar gak ribet harganya kayaknya aja karna setauku nescafe kaleng an e batu k susu pisang mujigae an,engga soal minum kemas gula tinggi apalagi gabungin dua minum gin kalau aku mungkin bakal beli point coffee aja udah caffe latte no sugar gak ribet harga juga kayak sama aja karna tau nescafe kaleng 10 an es batu 3k susu pisang mujigae 10 an,engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini kalau aku mungkin bakal beli point coffee aja udah caffe latte sugar gak ribet harganya juga kayaknya sama aja karna setauku nescafe kaleng es batu susu pisang mujigae,engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini kalau aku mungkin bakal beli point coffee aja udah caffe latte no sugar gak ribet harganya juga kayaknya sama aja karna setauku nescafe kaleng 10 an es batu 3k susu pisang mujiga 10 an
